Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC,P_relabun,PhAc_relabun,DBP_relabun,DEHP_relabun,ATBC_relabun,P_mean,PhAc_mean,DBP_mean,DEHP_mean,ATBC_mean,P_sd,PhAc_sd,DBP_sd,DEHP_sd,ATBC_sd,P_PhAc_fc,P_DBP_fc,P_DEHP_fc,P_ATBC_fc,PhAc_DBP_fc,PhAc_DEHP_fc,PhAc_ATBC_fc,P_PhAc_ttest,P_DBP_ttest,P_DEHP_ttest,P_ATBC_ttest,P_PhAc_ttest_sig,P_DBP_ttest_sig,P_DEHP_ttest_sig,P_ATBC_ttest_sig,PhAc_DBP_ttest,PhAc_DEHP_ttest,PhAc_ATBC_ttest,PhAc_DBP_ttest_sig,PhAc_DEHP_ttest_sig,PhAc_ATBC_ttest_sig
JANJIKNC_03075 hypothetical protein,19.1341,18.43155,18.47236,22.25724,21.93733,21.23538,19.52739,18.32171,18.27346,19.66825,19.73157,19.43105,18.13829,18.26582,19.63774,0.006589867,0.077986652,0.00551892,0.015668712,0.006791073,18.67933667,21.80998333,18.70752,19.61029,18.68061667,0.321997548,0.426780463,0.580070184,0.129351173,0.678788029,3.130646667,0.028183333,0.930953333,0.00128,-3.102463333,-2.199693333,-3.129366667,0.00116057,0.954976933,0.019201601,0.998192915,+,,+,,0.003670554,0.002220857,0.005260411,+,+,+
JANJIKNC_03100 Biotin carboxylase,22.99462,23.70725,22.96656,23.34935,23.24558,23.63223,24.88423,24.82498,23.9612,22.71542,22.2245,20.30886,23.24821,22.81742,22.73368,0.153673303,0.236258972,0.318173386,0.069028393,0.129438781,23.22281,23.40905333,24.55680333,21.74959333,22.93310333,0.3427423,0.163397107,0.421849214,1.03827903,0.225421465,0.186243333,1.333993333,-1.473216667,-0.289706667,1.14775,-1.65946,-0.47595,0.526061615,0.025562675,0.129416301,0.374446604,,+,,,0.023003109,0.089329973,0.072950716,+,,
JANJIKNC_03102 Putative thiosulfate sulfurtransferase SseA,20.22199,19.90403,20.12073,20.3909,20.52078,21.10572,21.0979,21.4246,21.031,20.97232,20.93431,20.84153,20.5468,20.27833,20.50688,0.017425918,0.035448155,0.030725531,0.038735327,0.023055293,20.08225,20.67246667,21.1845,20.91605333,20.44400333,0.132627733,0.310911072,0.171959123,0.054933204,0.118276911,0.590216667,1.10225,0.833803333,0.361753333,0.512033333,0.243586667,-0.228463333,0.068992916,0.001994881,0.001197186,0.045063543,,+,+,+,0.111185448,0.336554624,0.386407617,,,
JANJIKNC_03110 putative protein,18.9763,18.62641,18.50533,19.22317,19.8343,19.17963,20.85476,20.65473,20.52047,19.78026,20.34346,19.84508,18.25317,19.63505,18.61112,0.006697361,0.014800137,0.021608385,0.020380601,0.007548218,18.70268,19.41236667,20.67665333,19.9896,18.83311333,0.199693131,0.298880953,0.137350951,0.251612245,0.585581684,0.709686667,1.973973333,1.28692,0.130433333,1.264286667,0.577233333,-0.579253333,0.049204074,0.000324428,0.004785374,0.780438045,+,+,+,,0.005558779,0.104894588,0.280753225,+,,
JANJIKNC_03111 CRP-like cAMP-activated global transcriptional regulator,19.83069,22.2802,21.50998,19.14601,20.6106,19.76694,22.34175,21.74337,22.85854,19.35507,19.50249,19.07863,21.99928,19.51945,22.1626,0.03799847,0.019922894,0.067247995,0.012742602,0.039674298,21.20695667,19.84118333,22.31455333,19.31206333,21.22711,1.022706268,0.600216639,0.455672233,0.175691975,1.209337384,-1.365773333,1.107596667,-1.894893333,0.020153333,2.47337,-0.52912,1.385926667,0.178683752,0.234372686,0.061168597,0.986504366,,,,,0.009722234,0.297573419,0.220207657,+,,
JANJIKNC_03127 Acyl-CoA dehydrogenase,20.41421,20.57746,20.5925,19.29037,19.79507,19.65232,20.4865,20.74936,21.32185,19.59018,19.38487,20.58541,19.68256,19.1066,18.62494,0.023735416,0.016615126,0.024410603,0.018545681,0.009324692,20.52805667,19.57925333,20.85257,19.85348667,19.13803333,0.080735569,0.212421869,0.348751711,0.524291187,0.432343272,-0.948803333,0.324513333,-0.67457,-1.390023333,1.273316667,0.274233333,-0.44122,0.004117049,0.269096578,0.146515092,0.011078396,+,,,+,0.011602552,0.530647755,0.264902247,+,,
JANJIKNC_03135 hypothetical protein,19.29351,19.03299,18.3491,19.13894,20.8773,18.93677,19.09988,19.78154,18.55772,19.89746,19.10662,18.71097,19.64404,20.42293,19.43008,0.007635801,0.017462344,0.007481077,0.012107882,0.015088451,18.89186667,19.65100333,19.14638,19.23835,19.83235,0.398258215,0.871041833,0.500703196,0.493257353,0.426640577,0.759136667,0.254513333,0.346483333,0.940483333,-0.504623333,-0.412653333,0.181346667,0.325070048,0.603744589,0.482707461,0.084890376,,,,,0.516732068,0.591184528,0.804523244,,,
JANJIKNC_03136 Pyridoxine kinase,22.08236,21.71988,22.06079,22.05192,20.41153,21.78237,21.97967,21.75536,21.78373,19.07093,20.36393,19.82845,22.75658,22.52301,22.4988,0.063789899,0.059319943,0.048383817,0.01731513,0.10224025,21.95434333,21.41527333,21.83958667,19.75443667,22.59279667,0.16602431,0.718233857,0.099728697,0.530453096,0.116233289,-0.53907,-0.114756667,-2.199906667,0.638453333,0.424313333,-1.660836667,1.177523333,0.35948153,0.449207185,0.005000852,0.011202377,,,+,+,0.454444171,0.058152427,0.083969479,,,
JANJIKNC_03162 Putative lipoprotein LppJ,18.78083,18.59126,18.61811,20.17468,20.82825,19.61914,19.59328,19.5318,18.97326,20.2511,19.37901,19.43155,19.62083,19.35884,19.86935,0.006517473,0.025679205,0.008711851,0.016526905,0.012990299,18.6634,20.20735667,19.36611333,19.68722,19.61634,0.083755932,0.49415758,0.278920841,0.39929989,0.208439016,1.543956667,0.702713333,1.02382,0.95294,-0.841243333,-0.520136667,-0.591016667,0.012095577,0.026966866,0.023822834,0.003884255,+,+,+,+,0.104051489,0.311363609,0.194130578,,,
JANJIKNC_03194 putative protein;JANJIKNC_01212 putative protein,19.28747,18.02209,18.58948,19.72653,20.51157,18.83724,23.63489,23.61616,23.99852,19.9289,21.36688,19.59193,19.73848,19.16023,18.67227,0.006381635,0.017962945,0.18186482,0.02520133,0.009668884,18.63301333,19.69178,23.74985667,20.29590333,19.19032667,0.517505555,0.683983874,0.175997714,0.769688448,0.435798346,1.058766667,5.116843333,1.66289,0.557313333,4.058076667,0.604123333,-0.501453333,0.15578862,0.000188133,0.064284762,0.308774671,,+,,,0.001247541,0.453340008,0.431255708,+,,
JANJIKNC_03195 S-(hydroxymethyl)mycothiol dehydrogenase,19.12695,18.67738,17.86606,19.44128,20.49003,19.58775,24.75113,25.09848,24.01742,19.41137,19.4852,20.27337,19.2032,19.26035,19.87482,0.006053248,0.019902236,0.332960991,0.01694559,0.011544599,18.55679667,19.83968667,24.62234333,19.72331333,19.44612333,0.521770162,0.463733547,0.450638203,0.390114914,0.30403087,1.28289,6.065546667,1.166516667,0.889326667,4.782656667,-0.116373333,-0.393563333,0.060110193,0.000239942,0.064512323,0.105702845,,+,,,0.000472078,0.799386872,0.372300825,+,,
JANJIKNC_03196 hypothetical protein,19.20802,18.75552,19.28708,18.74179,19.80492,18.95291,23.90463,23.16604,24.8469,20.63068,20.41926,20.68356,19.85046,19.54355,19.17846,0.008720753,0.012481436,0.212215961,0.030640289,0.012186226,19.08354,19.16654,23.97252333,20.57783333,19.52415667,0.234180075,0.459557528,0.687885511,0.114187565,0.274685367,0.083,4.888983333,1.494293333,0.440616667,4.805983333,1.411293333,0.357616667,0.831135485,0.000681094,0.001256162,0.15937071,,+,+,,0.001196286,0.013533226,0.398336664,+,+,
JANJIKNC_03197 Rhodocoxin reductase,18.63514,18.57999,18.50436,18.37677,20.60424,19.46662,24.03867,24.05986,23.54816,19.72402,19.2253,19.18582,19.08538,19.11169,18.85511,0.00612231,0.015537853,0.199341188,0.013342015,0.008576661,18.57316333,19.48254333,23.88223,19.37838,19.01739333,0.053608486,0.909430523,0.23638151,0.244935263,0.115253241,0.90938,5.309066667,0.805216667,0.44423,4.399686667,-0.104163333,-0.46515,0.230888999,6.47E-06,0.010483758,0.007803259,,+,+,+,0.002697493,0.883289345,0.512683594,+,,
JANJIKNC_03198 Ferredoxin-2,19.32342,18.81755,18.98691,19.12105,20.48109,19.75356,21.54637,20.87298,22.66156,19.59764,19.40299,18.67872,19.3453,19.73499,19.04342,0.008476916,0.019165043,0.043728522,0.012008422,0.010985989,19.04262667,19.78523333,21.69363667,19.22645,19.37457,0.210244896,0.555685523,0.737572689,0.395371783,0.283089875,0.742606667,2.65101,0.183823333,0.331943333,1.908403333,-0.558783333,-0.410663333,0.151857578,0.008111969,0.592683573,0.253903774,,+,,,0.04313353,0.311030472,0.404439298,+,,
JANJIKNC_03199 Cis-toluene dihydrodiol dehydrogenase,18.71829,18.97261,17.65509,19.54257,20.50093,19.24149,24.72062,24.48573,24.95562,21.24882,21.18089,21.91295,19.33558,19.71257,19.06264,0.005616129,0.018854478,0.356441792,0.055989252,0.010953243,18.44866333,19.76166333,24.72065667,21.44755333,19.37026333,0.570665484,0.536997017,0.191831791,0.330251585,0.26646382,1.313,6.271993333,2.99889,0.9216,4.958993333,1.68589,-0.3914,0.076849075,0.000123527,0.003004359,0.107301512,,+,+,,0.000251086,0.019403545,0.408082409,+,+,
JANJIKNC_03200 hypothetical protein,19.14178,18.21834,18.73712,18.61683,20.46425,19.53913,22.13999,21.65805,22.82102,20.69185,20.20453,18.55278,19.18202,18.59824,17.35303,0.00668067,0.016169935,0.062388982,0.018074844,0.005505166,18.69908,19.54007,22.20635333,19.81638667,18.37776333,0.377951178,0.75420635,0.477093893,0.91538573,0.762783751,0.84099,3.507273333,1.117306667,-0.321316667,2.666283333,0.276316667,-1.162306667,0.23139717,0.001234017,0.185827521,0.621768527,,+,,,0.01342197,0.758332792,0.200199743,+,,
"JANJIKNC_03201 Biphenyl 2,3-dioxygenase subunit beta",19.44099,19.1525,19.48405,20.14995,20.22156,19.88461,26.19406,25.54112,26.32041,23.04785,23.47296,22.56263,19.64756,18.84705,19.19886,0.010556742,0.023597225,0.876369838,0.167421152,0.009946434,19.35918,20.08537333,26.01853,23.02781333,19.23115667,0.147198296,0.144940068,0.341497986,0.371910633,0.327603796,0.726193333,6.65935,3.668633333,-0.128023333,5.933156667,2.94244,-0.854216667,0.007643757,1.44E-05,0.000203806,0.640685577,+,+,+,,2.26E-05,0.000478243,0.02798617,+,+,+
"JANJIKNC_03202 Biphenyl 2,3-dioxygenase subunit alpha",19.04686,19.55493,19.11555,19.36156,19.97935,18.99357,25.03229,24.06595,24.47073,20.66752,19.82042,20.27496,19.58439,19.77469,19.16654,0.009713735,0.015136908,0.310802871,0.024484972,0.012055025,19.23911333,19.44482667,24.52299,20.2543,19.50854,0.225069921,0.406727227,0.396233584,0.346135551,0.25400331,0.205713333,5.283876667,1.015186667,0.269426667,5.078163333,0.809473333,0.063713333,0.5653542,8.10E-05,0.025414376,0.324381411,,+,+,,0.000225032,0.098703866,0.860099891,+,,
JANJIKNC_03203 Pectin degradation repressor protein KdgR,18.87813,19.23663,19.37492,19.07155,20.34746,18.85304,23.51857,21.15023,24.08253,19.45719,19.90707,19.72896,19.67219,19.57041,19.03773,0.009215992,0.014920135,0.102109694,0.016647858,0.011390818,19.16322667,19.42401667,22.91711,19.69774,19.42677667,0.209349967,0.659038364,1.270409756,0.18498472,0.278217869,0.26079,3.753883333,0.534513333,0.26355,3.493093333,0.273723333,0.00276,0.622042813,0.014574444,0.053770285,0.344707806,,+,,,0.02601437,0.601933906,0.995907776,+,,
"JANJIKNC_03205 Protocatechuate 3,4-dioxygenase beta chain",18.75919,19.02014,18.46591,19.23621,20.56797,19.99587,23.35877,22.96213,23.01674,18.93472,20.22608,19.51695,18.31995,19.41954,19.10747,0.006913068,0.021237205,0.116922817,0.015124071,0.008179482,18.74841333,19.93335,23.11254667,19.55925,18.94898667,0.226391734,0.545483111,0.175527795,0.528043325,0.462682229,1.184936667,4.364133333,0.810836667,0.200573333,3.179196667,-0.3741,-0.984363333,0.046991783,2.75E-05,0.116662708,0.611163789,+,+,,,0.001425283,0.524264512,0.123490713,+,,
"JANJIKNC_03206 Protocatechuate 3,4-dioxygenase alpha chain",19.38412,18.4573,18.69379,19.33992,21.02879,18.54863,24.46189,23.60738,23.65031,19.93546,18.68662,19.48915,19.45978,18.74047,18.94374,0.007392092,0.017319019,0.202726754,0.013268512,0.008760538,18.84507,19.63911333,23.90652667,19.37041,19.04799667,0.393203134,1.034387385,0.393092076,0.516704124,0.302769228,0.794043333,5.061456667,0.52534,0.202926667,4.267413333,-0.268703333,-0.591116667,0.367606087,0.000209895,0.316351051,0.594068874,,+,,,0.005492456,0.758907042,0.481270861,+,,
"JANJIKNC_03207 3-carboxy-cis,cis-muconate cycloisomerase",19.2125,18.72048,19.265,18.56015,20.46641,19.5724,21.93387,21.41054,21.34554,19.95724,19.70371,19.66593,18.45149,18.49293,19.09459,0.00861533,0.016090739,0.039951636,0.017571328,0.006786618,19.06599333,19.53298667,21.56331667,19.77562667,18.67967,0.245253148,0.778726248,0.26336107,0.129342914,0.293880104,0.466993333,2.497323333,0.709633333,-0.386323333,2.03033,0.24264,-0.853316667,0.463929408,0.000604376,0.022367546,0.226656344,,+,+,,0.025057796,0.686208178,0.220698139,+,,
JANJIKNC_03208 3-oxoadipate enol-lactonase 2,18.45867,18.80437,20.06907,19.71878,20.40538,19.95016,24.97688,25.5807,25.89148,20.66266,19.42797,19.7232,19.73602,18.93645,19.69524,0.008886505,0.022626559,0.604620473,0.019663769,0.011623125,19.11070333,20.02477333,25.48302,19.93794333,19.45590333,0.692207639,0.285225352,0.379718604,0.526435101,0.367686076,0.91407,6.372316667,0.82724,0.3452,5.458246667,-0.08683,-0.56887,0.159305281,0.000336083,0.249747776,0.567137491,,+,,,8.38E-05,0.847514513,0.158899791,+,,
JANJIKNC_03209 3-oxoadipate CoA-transferase subunit A,18.56833,18.59323,19.09486,19.32762,20.55993,19.33051,25.03905,24.59035,24.79203,20.34118,19.50084,19.39276,20.41221,19.56638,19.30727,0.006930948,0.018565153,0.378463236,0.017201367,0.01436988,18.75214,19.73935333,24.80714333,19.74492667,19.76195333,0.242552745,0.580236525,0.183492474,0.423917327,0.471811966,0.987213333,6.055003333,0.992786667,1.009813333,5.06779,0.005573333,0.0226,0.090614129,9.47E-06,0.045253902,0.054548492,,+,+,,0.000297465,0.99177387,0.967959117,+,,
JANJIKNC_03210 3-oxoadipate CoA-transferase subunit B,18.91176,18.63921,18.45891,19.13297,19.93154,19.50755,22.69642,22.37639,21.993,19.87981,19.93004,19.64967,19.69254,19.19955,18.68425,0.006547176,0.015991041,0.069172947,0.018118161,0.009680866,18.66996,19.52402,22.35527,19.81984,19.19211333,0.186149496,0.326222784,0.287558069,0.122063194,0.411666256,0.85406,3.68531,1.14988,0.522153333,2.83125,0.29582,-0.331906667,0.032411337,0.000108816,0.001867212,0.177505088,+,+,+,,0.000773051,0.295973123,0.422022596,+,,
JANJIKNC_03217 Putative cytochrome P450 YjiB,20.01373,20.54208,19.86006,19.91598,20.28467,19.80171,18.71816,18.64329,18.9815,19.05807,19.82457,19.96885,18.70606,19.65791,19.18594,0.018120314,0.022253474,0.005807227,0.015743539,0.009621929,20.13862333,20.00078667,18.78098333,19.61716333,19.18330333,0.292103382,0.206085287,0.145043854,0.399702553,0.388595608,-0.137836667,-1.35764,-0.52146,-0.95532,-1.219803333,-0.383623333,-0.817483333,0.614539367,0.004161861,0.210566254,0.049864577,,+,,+,0.002383447,0.29413163,0.058288622,+,,
JANJIKNC_03233 hypothetical protein,18.20404,19.09188,18.18538,19.49548,20.08398,18.42763,18.94295,19.12161,18.00591,19.91651,19.73344,19.88996,18.99345,19.23585,19.2415,0.005794481,0.014034139,0.005452896,0.018457834,0.009447654,18.49376667,19.33569667,18.69015667,19.84663667,19.15693333,0.422998596,0.685576091,0.489302207,0.080772684,0.115623183,0.84193,0.19639,1.35287,0.663166667,-0.64554,0.51094,-0.178763333,0.213467047,0.68974693,0.011309581,0.099231492,,,+,,0.339379443,0.354303223,0.734545405,,,
JANJIKNC_03237 hypothetical protein,18.43177,19.46622,18.75101,19.17999,20.49053,20.05871,20.09442,19.94449,19.40881,18.66882,19.44678,19.38862,19.02969,20.27042,18.76647,0.007589016,0.02089253,0.011899035,0.011532217,0.010841928,18.883,19.90974333,19.81590667,19.16807333,19.35552667,0.432502579,0.545296295,0.294296362,0.353822992,0.655791405,1.026743333,0.932906667,0.285073333,0.472526667,-0.093836667,-0.74167,-0.554216667,0.105272887,0.065219512,0.510536673,0.442882609,,,,,0.840893926,0.181914973,0.410109055,,,
JANJIKNC_03238 Lipoprotein LprN,19.11092,18.59052,19.63756,18.84479,20.41057,18.73303,22.12733,21.99169,21.83098,20.05902,20.48413,20.177,18.66008,19.56709,18.85114,0.008900663,0.013973634,0.053453013,0.024244316,0.008628598,19.113,19.32946333,21.98333333,20.24005,19.02610333,0.42745482,0.765818209,0.121128598,0.179185388,0.39040655,0.216463333,2.870333333,1.12705,-0.086896667,2.65387,0.910586667,-0.30336,0.744655194,0.000796342,0.02632095,0.842267489,,+,+,,0.008396146,0.176902891,0.64391431,+,,
JANJIKNC_03239 hypothetical protein,18.93928,18.98859,19.17629,19.43735,19.90403,19.02409,19.55964,18.28879,19.52256,19.9653,18.94836,19.71487,19.88103,18.94385,18.92906,0.008430585,0.01524568,0.007364203,0.014953051,0.010086377,19.03472,19.45515667,19.12366333,19.54284333,19.25131333,0.10210915,0.359454595,0.590538649,0.432617322,0.445317861,0.420436667,0.088943333,0.508123333,0.216593333,-0.331493333,0.087686667,-0.203843333,0.186779339,0.844013795,0.181266433,0.539295241,,,,,0.534901788,0.836299147,0.640930249,,,
JANJIKNC_03255 Aminopeptidase N,18.22523,21.46508,20.81222,19.26958,20.46972,19.3222,22.17469,22.44099,21.7942,20.09755,19.89314,19.34148,21.15592,21.64223,21.5306,0.018486789,0.017905596,0.059445376,0.017592818,0.046075868,20.16751,19.68716667,22.13662667,19.77739,21.44291667,1.399022336,0.553765598,0.265419089,0.319331602,0.207991393,-0.480343333,1.969116667,-0.39012,1.275406667,2.44946,0.090223333,1.75575,0.675041247,0.122167447,0.720197361,0.271255785,,,,,0.004861962,0.851526722,0.013722896,+,,+
JANJIKNC_03257 putative protein/MSMEI_4575,23.49253,23.25234,23.2981,22.9243,22.60193,21.75902,23.4902,23.23414,24.11283,22.53012,23.32402,22.27628,23.4148,23.82687,23.24436,0.167564115,0.119725665,0.165335879,0.134332508,0.19112413,23.34765667,22.42841667,23.61239,22.71014,23.49534333,0.104130388,0.491290496,0.368982227,0.446277326,0.244533428,-0.91924,0.264733333,-0.637516667,0.147686667,1.183973333,0.281723333,1.066926667,0.060774204,0.384103112,0.120529603,0.475902002,,,,,0.052706003,0.580674971,0.051402483,,,
JANJIKNC_03265 Energy-dependent translational throttle protein EttA,18.52834,18.67026,17.65936,19.2678,20.3309,21.70961,21.29569,21.38832,21.08673,19.32767,20.31463,18.75359,19.92471,18.57514,19.51409,0.005017259,0.030091316,0.0323071,0.014170525,0.010710863,18.28598667,20.43610333,21.25691333,19.46529667,19.33798,0.446863929,0.999636542,0.126139749,0.644679401,0.564857413,2.150116667,2.970926667,1.17931,1.051993333,0.82081,-0.970806667,-1.098123333,0.049972048,0.000826526,0.100639555,0.107764861,+,+,,,0.313456335,0.312676953,0.247604366,,,
JANJIKNC_03268 Glycerol-3-phosphate acyltransferase,21.59099,21.91393,21.45809,20.02031,20.67059,20.8783,18.18558,18.07769,18.37972,18.473,19.48288,20.08973,18.28946,19.58641,19.70857,0.051813259,0.031960956,0.00392093,0.013068859,0.009699001,21.65433667,20.52306667,18.21433,19.34853667,19.19481333,0.191410774,0.365476001,0.124967868,0.66682835,0.6421211,-1.13127,-3.440006667,-2.3058,-2.459523333,-2.308736667,-1.17453,-1.328253333,0.017874316,2.88E-05,0.009306038,0.006555877,+,+,+,+,0.001073004,0.094282153,0.063818604,+,,
JANJIKNC_03269 Phosphoserine phosphatase SerB1,23.55415,23.60818,23.55239,19.1847,20.71806,18.5774,18.08417,18.2522,18.10835,19.79332,19.38048,20.59575,19.78646,18.7484,19.87926,0.195698119,0.015655076,0.003745364,0.019463618,0.01174843,23.57157333,19.49338667,18.14824,19.92318333,19.47137333,0.025894793,0.900767044,0.074170656,0.504558326,0.512621232,-4.078186667,-5.423333333,-3.64839,-4.1002,-1.345146667,0.429796667,-0.022013333,0.003060681,6.60E-08,0.000518029,0.00034988,+,+,+,+,0.103096707,0.587688921,0.977475996,,,
JANJIKNC_03273 Universal stress protein,23.77415,23.69859,23.80272,23.20663,23.10934,22.33998,22.50213,22.18794,22.00391,22.8155,23.14317,23.07982,23.2764,23.25338,23.24189,0.222768187,0.164334166,0.063478348,0.165691371,0.162044486,23.75848667,22.88531667,22.23132667,23.01283,23.25722333,0.043930014,0.387651386,0.205698151,0.141909953,0.014348367,-0.87317,-1.52716,-0.745656667,-0.501263333,-0.65399,0.127513333,0.371906667,0.034013848,0.000507271,0.00208014,0.000105369,+,+,+,+,0.102775915,0.684775841,0.246641687,,,
JANJIKNC_03333 Acyl-CoA dehydrogenase,18.7634,18.68629,18.64732,19.92582,20.62907,19.58525,18.66059,18.41204,19.07258,19.00977,19.75772,20.11771,19.049,20.11167,19.03779,0.006680315,0.022973286,0.005547878,0.015866639,0.011177375,18.69900333,20.04671333,18.71507,19.6284,19.39948667,0.048234588,0.434627386,0.272402063,0.461465425,0.503610459,1.34771,0.016066667,0.929396667,0.700483333,-1.331643333,-0.418313333,-0.647226667,0.012076397,0.938485429,0.047210349,0.12181958,+,,+,,0.021363613,0.403536518,0.240851194,+,,
JANJIKNC_03363 Putative acyl-CoA dehydrogenase FadE17,18.99701,20.68037,19.3104,19.62289,20.94938,19.10025,20.83074,20.77764,21.1887,18.98137,19.51275,19.49197,20.99466,19.09264,21.06467,0.01302766,0.020620565,0.025798692,0.012890366,0.022115911,19.66259333,19.89084,20.93236,19.32869667,20.38399,0.730960706,0.77831799,0.182551452,0.245743514,0.913569544,0.228246667,1.269766667,-0.333896667,0.721396667,1.04152,-0.562143333,0.49315,0.777483958,0.075704372,0.573421941,0.432437764,,,,,0.139201595,0.385198179,0.592340002,,,
JANJIKNC_03364 Acyl-CoA dehydrogenase,19.05493,20.58637,17.87667,19.20349,20.54563,20.40847,21.86918,22.15081,22.82997,19.78388,19.02461,20.13651,19.87892,18.74313,20.88651,0.009276428,0.023066097,0.06580777,0.016087386,0.01512863,19.17265667,20.05253,22.28332,19.64833333,19.83618667,1.109358132,0.60296761,0.403277019,0.463939706,0.8755528,0.879873333,3.110663333,0.475676667,0.66353,2.23079,-0.404196667,-0.216343333,0.380170471,0.020352248,0.605702541,0.543017597,,+,,,0.012165873,0.494233557,0.787796781,+,,
JANJIKNC_03368 putative protein/MSMEI_6344,19.13299,18.5586,18.95468,19.91426,20.03826,19.26058,19.43947,19.44034,20.2287,19.43195,19.97594,19.17682,19.12306,19.40921,19.37969,0.00758423,0.01854389,0.011002067,0.014802422,0.010461439,18.88209,19.7377,19.70283667,19.52823667,19.30398667,0.240045758,0.3411516,0.371841699,0.333268196,0.128500847,0.85561,0.820746667,0.646146667,0.421896667,-0.034863333,-0.209463333,-0.433713333,0.044085388,0.058643728,0.090124462,0.09355134,+,,,,0.92686751,0.568162306,0.167758078,,,
JANJIKNC_03417 hypothetical protein,21.59878,21.46742,21.64548,19.29363,20.9332,19.41112,21.3978,21.28732,21.40971,19.92338,21.42716,21.59678,21.32811,18.34643,20.72284,0.048890178,0.020456517,0.034819157,0.040559407,0.018577478,21.57056,19.87931667,21.36494333,20.98244,20.13246,0.075381771,0.746750085,0.055102925,0.752063295,1.286860602,-1.691243333,-0.205616667,-0.58812,-1.4381,1.485626667,1.103123333,0.253143333,0.033320376,0.035726438,0.332923594,0.189767951,+,+,,,0.048519642,0.215001455,0.821680931,+,,
JANJIKNC_03426 Diacylglycerol acyltransferase/mycolyltransferase Ag85B,19.54806,18.54684,17.97105,19.41647,21.30296,19.71583,19.5518,20.14146,20.10917,19.97349,19.08126,20.01028,19.79439,19.19472,19.41451,0.006632546,0.024594412,0.012915301,0.016539778,0.011719963,18.68865,20.14508667,19.93414333,19.68834333,19.46787333,0.651573834,0.827811208,0.270678751,0.429535413,0.247705149,1.456436667,1.245493333,0.999693333,0.779223333,-0.210943333,-0.456743333,-0.677213333,0.122232511,0.067020659,0.144283334,0.189059896,,,,,0.749197994,0.526667795,0.329852557,,,
JANJIKNC_03432 Acyl-CoA dehydrogenase FadE34,20.80317,20.58564,20.53203,19.77477,20.25967,20.28325,20.9276,20.80758,21.1332,19.55598,21.63023,19.143,19.49489,18.13309,18.80239,0.025655438,0.023935311,0.026227215,0.022150407,0.007428887,20.64028,20.10589667,20.95612667,20.10973667,18.81012333,0.117241552,0.234339719,0.134455505,1.088290128,0.555979414,-0.534383333,0.315846667,-0.530543333,-1.830156667,0.85023,0.00384,-1.295773333,0.044826836,0.066489812,0.530712155,0.01037742,+,,,+,0.011242304,0.996341368,0.038506899,+,,+
"JANJIKNC_03444 Narbonolide/10-deoxymethynolide synthase PikA1, modules 1 and 2",18.89851,19.4029,19.51507,19.27638,20.04083,19.3278,20.37698,20.01045,20.54802,19.63982,18.88495,19.59666,19.16101,18.93606,18.6716,0.009938807,0.016262855,0.016780138,0.013299819,0.008032855,19.27216,19.54833667,20.31181667,19.37381,18.92289,0.268149547,0.348877502,0.224246994,0.346124998,0.200017705,0.276176667,1.039656667,0.10165,-0.34927,0.76348,-0.174526667,-0.625446667,0.424894888,0.013628176,0.759134356,0.21385234,,+,,,0.059831926,0.64189409,0.092706446,,,
JANJIKNC_03446 Butyryl-CoA dehydrogenase,21.08226,22.25491,21.58238,21.21662,20.51415,21.78197,22.99681,23.06387,22.95082,20.06555,19.86592,19.79472,19.17033,21.12395,21.22494,0.051295585,0.050077315,0.108435952,0.019269599,0.024074425,21.63985,21.17091333,23.00383333,19.90873,20.50640667,0.480454026,0.518593426,0.046418897,0.114634911,0.945648063,-0.468936667,1.363983333,-1.73112,-1.133443333,1.83292,-1.262183333,-0.664506667,0.401312216,0.016180243,0.007725815,0.205265965,,+,+,,0.007605422,0.028282146,0.432741926,+,+,
JANJIKNC_03457 putative protein,23.26256,22.71984,23.09309,18.67984,20.43816,19.64351,22.08378,21.47214,21.39624,19.85367,19.92263,19.15391,22.08732,19.30359,22.77746,0.133998782,0.01670655,0.042446863,0.016032505,0.044399744,23.02516333,19.58717,21.65072,19.64340333,21.38945667,0.226710937,0.718935765,0.307783393,0.347267105,1.50159984,-3.437993333,-1.374443333,-3.38176,-1.635706667,2.06355,0.056233333,1.802286667,0.002974365,0.007056993,0.000322905,0.202364529,+,+,+,,0.020268407,0.925450226,0.200527624,+,,
JANJIKNC_03458 3-ketoacyl-CoA thiolase FadI,19.42097,19.59383,19.68355,19.13839,20.64277,20.05374,19.50756,18.87454,19.24481,19.12574,19.05367,20.22765,19.4819,19.60765,18.97619,0.012184958,0.021408898,0.00781278,0.014207144,0.010839824,19.56611667,19.94496667,19.20897,19.46902,19.35524667,0.108974265,0.618958009,0.259668968,0.537238699,0.272905641,0.37885,-0.357146667,-0.097096667,-0.21087,-0.735996667,-0.475946667,-0.58972,0.44197494,0.147338709,0.814545971,0.367583082,,,,,0.195914325,0.457631724,0.285121167,,,
